Name|Neighborhood|Address|Date of Search
High Five Cannabis|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Special Delivery - Imperial Beach|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Luckys Health Group|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
WEEDRIVE|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Weedfellas|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Dank Remedies (OPEN LATE)|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
The Chronic Meds|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Green Light Wellness|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Danky Duck Co.|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Lucie 41|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Westlake Providers|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Green Fellas|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Affordable Ounces & More|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Drop Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Purple Dragon Delivery - Imperial Beach|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Drop Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
World Wide Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Community Green|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Southern Pacific Healing|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
MEDS ON THE GO|Imperial Beach/Otay Mesa|OCEAN BEACH, CA|07-11-2017
Stoney Overnight Delivery - Imperial Beach / Otay Mesa|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
High Five Cannabis|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Special Delivery - Imperial Beach|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Luckys Health Group|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
WEEDRIVE|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Weedfellas|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Dank Remedies (OPEN LATE)|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
The Chronic Meds|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
Green Light Wellness|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Danky Duck Co.|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Lucie 41|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Westlake Providers|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Green Fellas|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Affordable Ounces & More|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Drop Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Purple Dragon Delivery - Imperial Beach|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Drop Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
World Wide Weed|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Community Green|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Southern Pacific Healing|Imperial Beach/Otay Mesa|SAN DIEGO, CA|07-11-2017
MEDS ON THE GO|Imperial Beach/Otay Mesa|OCEAN BEACH, CA|07-11-2017
Stoney Overnight Delivery - Imperial Beach / Otay Mesa|Imperial Beach/Otay Mesa|IMPERIAL BEACH, CA|07-11-2017
Buddiez - Vista|Vista|VISTA, OCEANSIDE, CARLSBAD, CA|07-11-2017
M Delivers - Vista|Vista|ALL OF NORTH COUNTY, CA|07-11-2017
House Of Dank|Vista|VISTA, CA|07-11-2017
Dynomeds|Vista|NORTH COUNTY, CA|07-11-2017
Jah Healing Caregivers|Vista|VISTA, CALIFORNIA|07-11-2017
New Leaf Wellness San Diego|Vista|VISTA, CA|07-11-2017
The Gas Station Delivery|Vista|VISTA, CA|07-11-2017
Roasted Reefer|Vista|VISTA, CA|07-11-2017
PUF - Vista|Vista|VISTA, CA|07-11-2017
Terra Organics|Vista|VISTA, CA|07-11-2017
Lords of Medtown|Vista|VISTA, ESCONDIDO AND OCEANSIDE, CA|07-11-2017
Dank Remedies (OPEN LATE)|Vista|VISTA, CA|07-11-2017
Modern Medicine Delivery|Vista|VISTA, CA|07-11-2017
Organic Solutions|Vista|VISTA, CA|07-11-2017
The Chronic Snob|Vista|VISTA, CA|07-11-2017
Natural Kind Wellness|Vista|VISTA, CA|07-11-2017
Greener Solutions|Vista|VISTA, CA|07-11-2017
Flavor Buzz|Vista|VISTA, CA|07-11-2017
Gaia's Gift|Vista|VISTA, CA|07-11-2017
Extraction / Happy Dayz|Vista|VISTA, CA|07-11-2017
420 Inland|Vista|VISTA, CA|07-11-2017
Fast and Friendly - (Open Late)-Vista|Vista|VISTA, CA|07-11-2017
Carpe Diem Gardens - Vista|Vista|VISTA, CA|07-11-2017
420GreenAngel|Vista|VISTA, CA|07-11-2017
Herbal Meds|Vista|VISTA, CA|07-11-2017
Trichome Delivery Service|Vista|VISTA, CA|07-11-2017
Stoney Overnight Delivery - Vista|Vista|VISTA, CA|07-11-2017
PharmaLux|Vista|VISTA, CA|07-11-2017
Buddiez - Vista|Vista|VISTA, OCEANSIDE, CARLSBAD, CA|07-11-2017
M Delivers - Vista|Vista|ALL OF NORTH COUNTY, CA|07-11-2017
House Of Dank|Vista|VISTA, CA|07-11-2017
Dynomeds|Vista|NORTH COUNTY, CA|07-11-2017
Jah Healing Caregivers|Vista|VISTA, CALIFORNIA|07-11-2017
New Leaf Wellness San Diego|Vista|VISTA, CA|07-11-2017
The Gas Station Delivery|Vista|VISTA, CA|07-11-2017
Roasted Reefer|Vista|VISTA, CA|07-11-2017
PUF - Vista|Vista|VISTA, CA|07-11-2017
Terra Organics|Vista|VISTA, CA|07-11-2017
Lords of Medtown|Vista|VISTA, ESCONDIDO AND OCEANSIDE, CA|07-11-2017
Dank Remedies (OPEN LATE)|Vista|VISTA, CA|07-11-2017
Modern Medicine Delivery|Vista|VISTA, CA|07-11-2017
Organic Solutions|Vista|VISTA, CA|07-11-2017
The Chronic Snob|Vista|VISTA, CA|07-11-2017
Natural Kind Wellness|Vista|VISTA, CA|07-11-2017
Greener Solutions|Vista|VISTA, CA|07-11-2017
Flavor Buzz|Vista|VISTA, CA|07-11-2017
Gaia's Gift|Vista|VISTA, CA|07-11-2017
Extraction / Happy Dayz|Vista|VISTA, CA|07-11-2017
420 Inland|Vista|VISTA, CA|07-11-2017
Fast and Friendly - (Open Late)-Vista|Vista|VISTA, CA|07-11-2017
Carpe Diem Gardens - Vista|Vista|VISTA, CA|07-11-2017
420GreenAngel|Vista|VISTA, CA|07-11-2017
Herbal Meds|Vista|VISTA, CA|07-11-2017
Trichome Delivery Service|Vista|VISTA, CA|07-11-2017
Stoney Overnight Delivery - Vista|Vista|VISTA, CA|07-11-2017
PharmaLux|Vista|VISTA, CA|07-11-2017
Left Coast Collective - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
True Meds Delivery Incorporated|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Luckys Health Group Delivery|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Pakalolo Sunshine|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Diego Kush|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Global Greens|Clairemont Kearny|CALIREMONT/PB, CA|07-11-2017
Green Car Delivery|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Anodized Group|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
M Delivers - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
San Diego Organics|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Platinum Alternative Care|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Clairemont|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Cali Kush House -Clairemont|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Greenlyfe|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
MJ Deliveries|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Royalty Delivery|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
Tigerlily Bakes (4)|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
The People's Medicine|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
The Nug Company|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
CBD SD|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Alpha Medic, Inc. - Clairemont|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Releaf Delivery|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Alternative Patient Care - APC|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Freedom Farmers|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast Grass|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
APC - Alternative Patient Care #3|Clairemont Kearny|SAN DIEGO, CALIFORNIA|07-11-2017
Green Nectar|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
7 by 7|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Flash Buds|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
Cali Coastal Collective|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Purple Dragon Delivery - Clairemont|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
K&J Clone Farms|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Timely Holistic Care|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Balboa Ave Cooperative " Formerly Medicine Machine"|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast Grass|Clairemont Kearny|NORTHPARK, CA|07-11-2017
The Herbal Express|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Budzilla|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Budee|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Cali Coastal Collective - San Diego|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Apothekare|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Cali Coastal Collective - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Bud Club - Clairemont Kearny|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Green Smilez Delivery|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Budee|Clairemont Kearny|UNION CITY, CA|07-11-2017
Bud Club - Clairemont Kearny|Clairemont Kearny|DELIVERY, CA|07-11-2017
Wow Bud|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Affordable Ounces & More|Clairemont Kearny|LA JOLLA, CA|07-11-2017
Freedom Medical Association|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Limitless Care Collective|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Stoney Overnight Delivery - Clairemont Kearney|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Patriot Medical|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
True Meds Delivery Incorporated|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Luckys Health Group Delivery|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Pakalolo Sunshine|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Diego Kush|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Global Greens|Clairemont Kearny|CALIREMONT/PB, CA|07-11-2017
Green Car Delivery|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Anodized Group|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
M Delivers - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
San Diego Organics|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Platinum Alternative Care|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Clairemont|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Cali Kush House -Clairemont|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Greenlyfe|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
MJ Deliveries|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Royalty Delivery|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
Tigerlily Bakes (4)|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
The People's Medicine|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
The Nug Company|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
CBD SD|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Alpha Medic, Inc. - Clairemont|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Releaf Delivery|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Alternative Patient Care - APC|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Freedom Farmers|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast Grass|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
APC - Alternative Patient Care #3|Clairemont Kearny|SAN DIEGO, CALIFORNIA|07-11-2017
Green Nectar|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
7 by 7|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Flash Buds|Clairemont Kearny|CLAIREMONT KEARNEY, CA|07-11-2017
Cali Coastal Collective|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Purple Dragon Delivery - Clairemont|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
K&J Clone Farms|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Timely Holistic Care|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Balboa Ave Cooperative " Formerly Medicine Machine"|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Fast Grass|Clairemont Kearny|NORTHPARK, CA|07-11-2017
The Herbal Express|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Budzilla|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Budee|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Cali Coastal Collective - San Diego|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Apothekare|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Cali Coastal Collective - Clairemont Kearny|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Bud Club - Clairemont Kearny|Clairemont Kearny|CLAIREMONT KEARNY, CA|07-11-2017
Green Smilez Delivery|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Budee|Clairemont Kearny|UNION CITY, CA|07-11-2017
Bud Club - Clairemont Kearny|Clairemont Kearny|DELIVERY, CA|07-11-2017
Wow Bud|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Affordable Ounces & More|Clairemont Kearny|LA JOLLA, CA|07-11-2017
Freedom Medical Association|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Limitless Care Collective|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Stoney Overnight Delivery - Clairemont Kearney|Clairemont Kearny|CLAIREMONT, CA|07-11-2017
Patriot Medical|Clairemont Kearny|SAN DIEGO, CA|07-11-2017
Better Daze Express, Inc|Oceanside|OCEANSIDE, CA|07-11-2017
M Delivers - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
New Age Botanicals - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Buddiez - Oceanside|Oceanside|NORTH SAN DIEGO, CA|07-11-2017
True Holistic|Oceanside|OCEANSIDE, CA|07-11-2017
Six Star - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Rolling Jays|Oceanside|OCEANSIDE, CA|07-11-2017
Seven Point Delivery|Oceanside|NORTH COUNTY, CA|07-11-2017
420 Central Delivery - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Jah Healing Caregivers|Oceanside|OCEANSIDE, CA|07-11-2017
So Cal Holistic Health|Oceanside|OCEANSIDE, CA|07-11-2017
The Gas Station Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Carpe Diem Gardens - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
$100.00 Oz|Oceanside|OCEANSIDE, CA|07-11-2017
PUF - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Extraction - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
House Of Dank|Oceanside|OCEANSIDE, CA|07-11-2017
The Cannapy|Oceanside|OCEANSIDE, CA|07-11-2017
The Gas Station SD|Oceanside|OCEANSIDE, CA|07-11-2017
Trichome Delivery Service|Oceanside|OCEANSIDE, CA|07-11-2017
Greener Solutions|Oceanside|OCEANSIDE, CA|07-11-2017
Modern Medicine Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Kush Kingdom|Oceanside|NORTH COUNTY SAN DIEGO, CA|07-11-2017
The Chronic Snob|Oceanside|OCEANSIDE, CA|07-11-2017
Alpha Medic, Inc. - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
420 Inland|Oceanside|OCEANSIDE, CA|07-11-2017
Calm Cool and Collective|Oceanside|OCEANSIDE, CA|07-11-2017
Flavor Buzz|Oceanside|OCEANSIDE, CA|07-11-2017
Coastal Healing|Oceanside|OCEANSIDE, CA|07-11-2017
Fast and Friendly - (Open Late)-Oceanside|Oceanside|ALL OF NORTH COUNTY, CA|07-11-2017
Releaf Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Fast and Friendly - (Open Late)-Oceanside|Oceanside|OCEANSIDE, VISTA, CARLSBAD, CA|07-11-2017
Wow Bud|Oceanside|OCEANSIDE, CA|07-11-2017
Carpe Diem Gardens - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Cali Care Collective - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Wings of Wellness - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Little Addicts|Oceanside|OCEANSIDE, CA|07-11-2017
Stoney Overnight Delivery - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Better Daze Express, Inc|Oceanside|OCEANSIDE, CA|07-11-2017
M Delivers - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
New Age Botanicals - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Buddiez - Oceanside|Oceanside|NORTH SAN DIEGO, CA|07-11-2017
True Holistic|Oceanside|OCEANSIDE, CA|07-11-2017
Six Star - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Rolling Jays|Oceanside|OCEANSIDE, CA|07-11-2017
Seven Point Delivery|Oceanside|NORTH COUNTY, CA|07-11-2017
420 Central Delivery - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Jah Healing Caregivers|Oceanside|OCEANSIDE, CA|07-11-2017
So Cal Holistic Health|Oceanside|OCEANSIDE, CA|07-11-2017
The Gas Station Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Carpe Diem Gardens - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
$100.00 Oz|Oceanside|OCEANSIDE, CA|07-11-2017
PUF - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Extraction - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
House Of Dank|Oceanside|OCEANSIDE, CA|07-11-2017
The Cannapy|Oceanside|OCEANSIDE, CA|07-11-2017
The Gas Station SD|Oceanside|OCEANSIDE, CA|07-11-2017
Trichome Delivery Service|Oceanside|OCEANSIDE, CA|07-11-2017
Greener Solutions|Oceanside|OCEANSIDE, CA|07-11-2017
Modern Medicine Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Kush Kingdom|Oceanside|NORTH COUNTY SAN DIEGO, CA|07-11-2017
The Chronic Snob|Oceanside|OCEANSIDE, CA|07-11-2017
Alpha Medic, Inc. - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
420 Inland|Oceanside|OCEANSIDE, CA|07-11-2017
Calm Cool and Collective|Oceanside|OCEANSIDE, CA|07-11-2017
Flavor Buzz|Oceanside|OCEANSIDE, CA|07-11-2017
Coastal Healing|Oceanside|OCEANSIDE, CA|07-11-2017
Fast and Friendly - (Open Late)-Oceanside|Oceanside|ALL OF NORTH COUNTY, CA|07-11-2017
Releaf Delivery|Oceanside|OCEANSIDE, CA|07-11-2017
Fast and Friendly - (Open Late)-Oceanside|Oceanside|OCEANSIDE, VISTA, CARLSBAD, CA|07-11-2017
Wow Bud|Oceanside|OCEANSIDE, CA|07-11-2017
Carpe Diem Gardens - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Cali Care Collective - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Wings of Wellness - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
Little Addicts|Oceanside|OCEANSIDE, CA|07-11-2017
Stoney Overnight Delivery - Oceanside|Oceanside|OCEANSIDE, CA|07-11-2017
ShowGrow Delivery - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Weedfellas|Ramon/Julian|RAMONA, CA|07-11-2017
Tree Branch Remedies - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Weedstreet Delivery - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Green Chill - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
My Bud Friend|Ramon/Julian|RAMONA, CA|07-11-2017
Green Chill - Julian|Ramon/Julian|JULIAN, CA|07-11-2017
Green Remedies|Ramon/Julian|RAMONA, CA|07-11-2017
High Koality Meds|Ramon/Julian|RAMONA, CA|07-11-2017
M Delivers Express - Ramona - Julian|Ramon/Julian|RAMONA, CA|07-11-2017
M Delivers Express - Ramona - Julian|Ramon/Julian|JULIAN, CA|07-11-2017
Stoney Overnight Delivery - Ramona / Julian|Ramon/Julian|RAMONA, CA|07-11-2017
ShowGrow Delivery - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Weedfellas|Ramon/Julian|RAMONA, CA|07-11-2017
Tree Branch Remedies - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Weedstreet Delivery - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
Green Chill - Ramona|Ramon/Julian|RAMONA, CA|07-11-2017
My Bud Friend|Ramon/Julian|RAMONA, CA|07-11-2017
Green Chill - Julian|Ramon/Julian|JULIAN, CA|07-11-2017
Green Remedies|Ramon/Julian|RAMONA, CA|07-11-2017
High Koality Meds|Ramon/Julian|RAMONA, CA|07-11-2017
M Delivers Express - Ramona - Julian|Ramon/Julian|RAMONA, CA|07-11-2017
M Delivers Express - Ramona - Julian|Ramon/Julian|JULIAN, CA|07-11-2017
Stoney Overnight Delivery - Ramona / Julian|Ramon/Julian|RAMONA, CA|07-11-2017
True Meds Delivery Incorporated|Mission Valley|MISSION VALLEY, CA|07-11-2017
Point Loma Patient Consumer Co-Op|Mission Valley|MISSION VALLEY, CA|07-11-2017
Luckys Health Group Delivery|Mission Valley|HILLCREST, CA|07-11-2017
WEEDRIVE|Mission Valley|MISSION VALLEY, CA|07-11-2017
PLATINUM LOUNGE EXPRESS|Mission Valley|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Mission Valley|Mission Valley|MISSION VALLEY, CA|07-11-2017
The Kush Remedy|Mission Valley|NORTH PARK, CA|07-11-2017
Kiki's 420 Delivery - Mission Valley San Diego|Mission Valley|MISSION VALLEY, CA|07-11-2017
SDBud|Mission Valley|SAN DIEGO, CA|07-11-2017
Breath of Life|Mission Valley|MISSION VALLEY, CA|07-11-2017
Special Delivery - Mission Valley|Mission Valley|MISSION VALLEY, CA|07-11-2017
TigerLily Bakes (3)|Mission Valley|MISSION VALLEY, CA|07-11-2017
Fast and Friendly - (Open Late) - Mission Valley|Mission Valley|SAN DIEGO, CA|07-11-2017
Okun THC|Mission Valley|MISSION VALLEY, CA|07-11-2017
Weedfellas|Mission Valley|MISSION VALLEY, CA|07-11-2017
Quality Delivery|Mission Valley|SAN DIEGO, CA|07-11-2017
Green Car Delivery|Mission Valley|MISSION VALLEY, CA|07-11-2017
Cali Kush House - Mission Valley|Mission Valley|MISSION VALLEY, CA|07-11-2017
Alpha Medic, Inc. - Mission Valley|Mission Valley|SAN DIEGO, CA|07-11-2017
The People's Medicine|Mission Valley|SAN DIEGO, CA|07-11-2017
Super Buds|Mission Valley|LA MESA, CA|07-11-2017
Pretty Dank|Mission Valley|MISSION VALLEY, CA|07-11-2017
Releaf Delivery|Mission Valley|SAN DIEGO, CA|07-11-2017
Budzilla|Mission Valley|SOLANA BEACH, CA|07-11-2017
Flash Buds|Mission Valley|MISSION VALLEY, CA|07-11-2017
Fast Grass|Mission Valley|SAN DIEGO, CA|07-11-2017
Freedom Farmers|Mission Valley|SAN DIEGO, CA|07-11-2017
Kings Kannabis|Mission Valley|MISSION VALLEY, CA|07-11-2017
Purple Dragon Delivery - Central San Diego|Mission Valley|CENTRAL SAN DIEGO, CA|07-11-2017
Rural Meds|Mission Valley|SAN DIEGO, CA|07-11-2017
Drop Weed|Mission Valley|MISSION VALLEY, CA|07-11-2017
Timely Holistic Care|Mission Valley|SAN DIEGO, CA|07-11-2017
Budee|Mission Valley|MISSION VALLEY, CA|07-11-2017
House of Ounce|Mission Valley|SAN DIEGO, CA|07-11-2017
Cali Coastal Collective - Mission Valley|Mission Valley|SAN DIEGO, CA|07-11-2017
Sleep EZ Delivery|Mission Valley|MISSION VALLEY, CA|07-11-2017
Budzilla|Mission Valley|MISSION VALLEY, CA|07-11-2017
Greener Solutions|Mission Valley|SAN DIEGO, CA|07-11-2017
Fast Grass|Mission Valley|SAN DIEGO, CA|07-11-2017
Tree of Life|Mission Valley|MISSION VALLEY, CA|07-11-2017
Balboa Ave Cooperative " Formerly Medicine Machine"|Mission Valley|SAN DIEGO, CA|07-11-2017
San Diego Fire|Mission Valley|MISSION VALLEY, CA|07-11-2017
Zoinks!|Mission Valley|MISSION VALLEY, CA|07-11-2017
Green Smilez Delivery|Mission Valley|SAN DIEGO, CA|07-11-2017
The Herbal Express|Mission Valley|MISSION VALLEY, CA|07-11-2017
Air Express Delivery|Mission Valley|MISSION VALLEY, CA|07-11-2017
SAZC|Mission Valley|MISSION VALLEY, CA|07-11-2017
BayFront Organics|Mission Valley|MISSION VALLEY, CA|07-11-2017
Dharma Delivery|Mission Valley|MISSION VALLEY, CA|07-11-2017
Stoney Overnight Delivery - Mission Valley|Mission Valley|MISSION VALLEY, CA|07-11-2017
True Meds Delivery Incorporated|Mission Valley|MISSION VALLEY, CA|07-11-2017
Point Loma Patient Consumer Co-Op|Mission Valley|MISSION VALLEY, CA|07-11-2017
Luckys Health Group Delivery|Mission Valley|HILLCREST, CA|07-11-2017
WEEDRIVE|Mission Valley|MISSION VALLEY, CA|07-11-2017
PLATINUM LOUNGE EXPRESS|Mission Valley|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Mission Valley|Mission Valley|MISSION VALLEY, CA|07-11-2017
The Kush Remedy|Mission Valley|NORTH PARK, CA|07-11-2017
Kiki's 420 Delivery - Mission Valley San Diego|Mission Valley|MISSION VALLEY, CA|07-11-2017
SDBud|Mission Valley|SAN DIEGO, CA|07-11-2017
